timestamp;level;message;context
2026-02-15T16:29:23;INFO;Запуск имитатора;Система инициализирована
2026-02-15T16:29:23;DEBUG;Поиск иконки Word;Координаты не найдены, пробую Win+R
2026-02-15T16:29:23;ERROR;Не удалось открыть файл;C:\Docs\report.docx
2026-02-15T18:02:42;INFO;Тест;Запуск сценария взаимодействия с ОС
2026-02-15T18:02:42;INFO;Комбинация клавиш;win+d
2026-02-15T18:02:42;INFO;Действие ОС;Поиск в меню Пуск: Калькулятор
2026-02-15T18:02:42;DEBUG;Нажатие клавиши: win;Кол-во: 1
2026-02-15T18:02:42;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:02:43;INFO;Ввод текста;Длина текста: 11 симв.
2026-02-15T18:02:44;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:02:46;DEBUG;Нажатие клавиши: enter;Кол-во: 1
2026-02-15T18:02:47;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:02:49;INFO;Ввод текста;Длина текста: 5 симв.
2026-02-15T18:02:50;DEBUG;Нажатие клавиши: enter;Кол-во: 1
2026-02-15T18:02:50;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:02:52;INFO;Действие ОС;Открытие диспетчера задач (Ctrl+Shift+Esc)
2026-02-15T18:02:52;INFO;Комбинация клавиш;ctrl+shift+esc
2026-02-15T18:02:53;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:04:24;INFO;Тест;Запуск сценария взаимодействия с ОС
2026-02-15T18:04:24;INFO;Комбинация клавиш;win+d
2026-02-15T18:04:24;INFO;Действие ОС;Поиск в меню Пуск: Калькулятор
2026-02-15T18:04:24;DEBUG;Нажатие клавиши: win;Кол-во: 1
2026-02-15T18:04:25;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:04:26;INFO;Ввод текста;Длина текста: 11 симв.
2026-02-15T18:04:27;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:04:29;DEBUG;Нажатие клавиши: enter;Кол-во: 1
2026-02-15T18:04:30;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:04:32;INFO;Ввод текста;Длина текста: 5 симв.
2026-02-15T18:04:33;DEBUG;Нажатие клавиши: enter;Кол-во: 1
2026-02-15T18:04:33;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:04:35;INFO;Действие ОС;Открытие диспетчера задач (Ctrl+Shift+Esc)
2026-02-15T18:04:35;INFO;Комбинация клавиш;ctrl+shift+esc
2026-02-15T18:04:35;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:04:37;INFO;Ожидание (Idle);3 сек.
2026-02-15T18:04:40;INFO;Комбинация клавиш;alt+tab
2026-02-15T18:04:41;INFO;Действие ОС;Закрытие текущего окна (Alt+F4)
2026-02-15T18:04:41;INFO;Комбинация клавиш;alt+f4
2026-02-15T18:04:41;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:04:42;INFO;Действие ОС;Закрытие текущего окна (Alt+F4)
2026-02-15T18:04:42;INFO;Комбинация клавиш;alt+f4
2026-02-15T18:04:43;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:04:44;INFO;Тест;Сценарий завершен
2026-02-15T18:06:47;INFO;Тест;Запуск сценария взаимодействия с ОС
2026-02-15T18:06:47;INFO;Комбинация клавиш;win+d
2026-02-15T18:06:47;INFO;Действие ОС;Поиск в меню Пуск: Калькулятор
2026-02-15T18:06:47;DEBUG;Нажатие клавиши: win;Кол-во: 1
2026-02-15T18:06:47;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:06:48;INFO;Ввод текста;Длина текста: 11 симв.
2026-02-15T18:06:51;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:06:53;DEBUG;Нажатие клавиши: enter;Кол-во: 1
2026-02-15T18:06:53;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:06:55;INFO;Ввод текста;Длина текста: 5 симв.
2026-02-15T18:06:56;DEBUG;Нажатие клавиши: enter;Кол-во: 1
2026-02-15T18:06:57;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:06:59;INFO;Действие ОС;Открытие диспетчера задач (Ctrl+Shift+Esc)
2026-02-15T18:06:59;INFO;Комбинация клавиш;ctrl+shift+esc
2026-02-15T18:06:59;INFO;Ожидание (Idle);2 сек.
2026-02-15T18:07:01;INFO;Ожидание (Idle);3 сек.
2026-02-15T18:07:04;INFO;Комбинация клавиш;alt+tab
2026-02-15T18:07:04;INFO;Действие ОС;Закрытие текущего окна (Alt+F4)
2026-02-15T18:07:04;INFO;Комбинация клавиш;alt+f4
2026-02-15T18:07:05;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:07:06;INFO;Действие ОС;Закрытие текущего окна (Alt+F4)
2026-02-15T18:07:06;INFO;Комбинация клавиш;alt+f4
2026-02-15T18:07:07;INFO;Ожидание (Idle);1 сек.
2026-02-15T18:07:08;INFO;Тест;Сценарий завершен
